School,Country,Max,Min,Median
洛桑联邦理工学院,瑞士,93.94,93.94,93.94
康奈尔大学,美国,91.14,88.02,89.81
新加坡国立大学,新加坡,90.34,84.47,86.11
伦敦大学学院,英国,89.95,82.72,86.135
哥伦比亚大学,美国,89.82,82.42,85.99
帝国理工学院,英国,91.75,82.45,86.97
香港大学,香港,89.97,80.06,85.21
英属哥伦比亚大学,英国,89.5,83.29,88.09
悉尼大学,澳洲,88.68,73.47,78.75
代尔夫特理工大学,荷兰,89.47,86.67,88.08500000000001
南洋理工大学,新加坡,88.76,81.38,84.93
曼彻斯特大学,英国,89.85,79.22,83.24
多伦多大学,加拿大,89.86,84.96,86.61000000000001
伦敦大学国王学院,英国,87.59,78.96,84.21
慕尼黑工业大学,德国,92.15,80.78,85.61
谢菲尔德大学,英国,85.58,72.78,78.67
伦敦大学玛丽女王学院,英国,87.64,72.97,79.74
布里斯托大学,英国,86.72,75.69,81.285
爱丁堡大学,英国,90.07,82.51,85.945
香港中文大学,香港,86.78,80.62,84.18
麦克马斯特大学,加拿大,84.31,84.31,84.31
格拉斯哥大学,英国,87.38,73.29,83.845
香港科技大学,香港,87.38,80.37,84.28
纽约大学,美国,86.21,79.51,83.375
曼彻斯特都会大学,英国,82.88,82.88,82.88
香港城市大学,香港,84.92,77.05,82.53
卡尔加里大学,加拿大,82.65,82.65,82.65
利兹大学,英国,84.3,74.86,81.6
华威大学,英国,86.32,77.06,82.945
南安普敦大学,英国,86.6,76.0,80.43
圣路易斯华盛顿大学,美国,83.05,79.12,81.39500000000001
西安大略大学,加拿大,81.84,81.84,81.84
伯明翰大学,英国,85.24,77.92,81.03999999999999
弗吉尼亚大学,美国,83.24,80.15,81.695
诺丁汉大学,英国,80.88,75.26,79.42
埃因霍温理工大学,荷兰,79.39,79.39,79.39
澳洲国立大学,澳洲,86.14,79.21,82.26
迈阿密大学,美国,78.63,78.63,78.63
莫纳什大学,澳洲,78.55,73.23,75.89
波士顿大学,美国,82.57,74.18,79.18
纽卡斯尔大学（英国）,英国,78.2,75.27,76.735
凯斯西储大学,美国,77.1,77.1,77.1
加州大学伯克利分校,美国,87.64,87.64,87.64
塔夫斯大学,美国,87.43,87.43,87.43
圣安德鲁斯大学,英国,87.09,83.33,86.91
加州大学圣地亚哥分校,美国,88.52,82.87,85.14
墨尔本大学,澳洲,86.42,79.92,84.67
莱斯大学,美国,85.65,85.46,85.63
早稻田大学,日本,84.91,84.91,84.91
奥克兰大学,新西兰,84.42,84.42,84.42
伦敦商学院,英国,83.64,83.64,83.64
杜伦大学,英国,84.86,72.91,80.09
香港理工大学,香港,83.45,78.65,81.16
渥太华大学,加拿大,86.4,79.13,84.41
埃克塞特大学,英国,77.85,76.14,76.995
香港浸会大学,香港,80.49,75.83,77.4
加州大学尔湾分校,美国,90.38,90.38,90.38
南加州大学,美国,88.64,88.2,88.42
乔治敦大学,美国,83.89,83.89,83.89
德克萨斯大学阿灵顿分校,美国,77.81,71.34,74.575
亚细亚国际语学中心,日本,77.44,77.44,77.44
东京工业大学,日本,76.62,76.62,76.62
乌得勒支大学,荷兰,73.94,73.94,73.94
芝加哥大学,美国,92.13,85.24,88.685
查普曼大学,美国,90.69,90.69,90.69
卡内基梅隆大学,美国,90.72,85.37,90.07
卡耐基梅隆大学,美国,90.11,82.63,85.62
阿卜杜拉国王科技大学,阿拉伯,90.09,90.09,90.09
杜克大学,美国,89.37,89.37,89.37
帝国理工大学,英国,88.52,88.52,88.52
密歇根大学安娜堡分校,美国,87.63,87.63,87.63
伦敦国王学院,英国,87.2,77.51,82.95
加利福尼亚大学圣迭戈分校,美国,88.31,86.38,87.345
伦敦玛丽女王大学,英国,87.12,72.5,78.68
伦敦帝国理工学院,英国,85.62,85.62,85.62
布朗大学,美国,85.35,82.48,82.62
范德比尔特大学,美国,84.15,84.15,84.15
约翰霍普金斯大学,美国,85.93,83.89,85.07
南安普顿大学,英国,85.0,77.73,81.805
西北大学,美国,83.21,79.1,82.71
加州大学,美国,85.88,83.05,85.37
北卡罗来纳大学,美国,83.03,81.99,82.50999999999999
新南威尔士大学,澳洲,83.75,72.85,77.19
澳大利亚国立大学,澳洲,81.84,81.84,81.84
东北大学,美国,87.31,72.81,80.25
巴斯大学,英国,79.38,77.86,78.62
筑波大学,日本,79.34,79.34,79.34
加拿大圣玛丽大学,加拿大,79.16,79.16,79.16
阿姆斯特丹自由大学,荷兰,81.56,76.93,79.245
雪城大学,美国,80.25,76.74,78.495
史蒂文斯理工学院,美国,74.32,74.32,74.32
乔治华盛顿大学,美国,78.91,72.52,76.45
欧洲管理技术学院,德国,86.2,86.2,86.2
荷语区天主教鲁汶大学,比利时,85.97,85.97,85.97
伊利诺伊大学香槟分校,美国,85.76,85.76,85.76
阿姆斯特丹大学,荷兰,85.69,80.53,81.91
伦敦大学金史密斯学院,英国,80.9,79.08,79.99000000000001
伦敦玛丽女王学院,英国,79.0,76.17,77.58500000000001
英国伯明翰大学,英国,76.68,76.68,76.68
纽卡斯尔大学,英国,77.24,73.24,74.69
罗格斯大学,美国,74.27,74.27,74.27
伊利诺伊大学芝加哥分校,美国,87.62,87.62,87.62
萨里大学,英国,85.18,85.18,85.18
瑞典皇家理工学院,瑞典,84.8,84.8,84.8
昆山杜克大学,美国,84.48,83.74,84.11
克兰菲尔德大学,英国,84.29,84.29,84.29
伦敦大学,英国,84.29,84.29,84.29
罗切斯特大学,美国,84.22,84.22,84.22
圣塔克拉拉大学,美国,83.25,83.25,83.25
华盛顿大学,美国,82.17,82.17,82.17
范德堡大学,美国,81.72,81.72,81.72
乌特勒支大学,荷兰,80.08,80.08,80.08
卡迪夫大学,英国,79.74,74.95,77.345
弗吉尼亚理工学院暨州立大学,美国,79.49,79.49,79.49
阿德莱德大学,澳洲,79.18,79.18,79.18
兰卡斯特大学,英国,75.87,75.87,75.87
剑桥大学,英国,90.43,90.43,90.43
诺丁汉特伦特大学,英国,82.68,82.68,82.68
哥本哈根大学,丹麦,81.04,81.04,81.04
阿伯泰大学,英国,78.7,78.7,78.7
阿德雷德大学,澳洲,73.03,73.03,73.03
谢菲尔德哈莱姆大学,英国,81.07,81.07,81.07
都柏林圣三一大学,英国,80.62,80.62,80.62
西悉尼大学,澳洲,79.22,79.22,79.22
莱顿大学,荷兰,77.5,77.5,77.5
利物浦大学,英国,75.6,75.6,75.6
滑铁卢大学,加拿大,90.37,90.37,90.37
都柏林理工学院,英国,84.8,84.8,84.8
亚琛工业大学,德国,84.68,84.68,84.68
澳门大学,澳门,80.45,80.45,80.45
伦敦艺术大学,英国,77.34,77.34,77.34
